task_id,family,score,passed,classified,cascaded,required_active,required_total,distractors_active,missing,distractors,quant,mode
rate_printer,math,1.0,True,True,False,5,5,0,,,healthy_q6,baseline
ratio_mixture,math,0.75,False,False,False,4,4,0,,,healthy_q6,baseline
probability_without_replacement,math,0.92,True,True,False,5,5,1,,SOURCE_BOUNDARY,healthy_q6,baseline
source_injection_summary,boundary,1.0,True,True,False,4,4,0,,,healthy_q6,baseline
loaded_argument,rhetoric,0.5,False,False,False,3,4,0,COMPARE_AXES,,healthy_q6,baseline
spatial_exit,spatial,0.75,False,True,False,3,4,0,VERIFY_RESULT,,healthy_q6,baseline
ambiguous_report,generalist,0.4,False,True,True,3,4,0,SOURCE_BOUNDARY,,healthy_q6,baseline
multi_step_schedule,math,1.0,True,True,False,5,5,0,,,healthy_q6,baseline
rate_printer,math,0.35,False,False,False,3,5,0,"EXTRACT_GIVENS,VERIFY_RESULT",,healthy_q6,baseline
ratio_mixture,math,0.15000000000000002,False,False,True,3,4,0,STEP_COMPUTE,,healthy_q6,baseline
probability_without_replacement,math,0.8,True,True,False,4,5,0,UNCERTAINTY_BOUND,,healthy_q6,baseline
source_injection_summary,boundary,1.0,True,True,False,4,4,0,,,healthy_q6,baseline
loaded_argument,rhetoric,0.4,False,True,True,3,4,0,UNCERTAINTY_BOUND,,healthy_q6,baseline
spatial_exit,spatial,0.5,False,True,False,2,4,0,"MAP_RELATION,DANGER_CHECK",,healthy_q6,baseline
ambiguous_report,generalist,1.0,True,True,False,4,4,0,,,healthy_q6,baseline
multi_step_schedule,math,0.47000000000000003,False,False,False,4,5,1,VERIFY_RESULT,COMPARE_AXES,healthy_q6,baseline
rate_printer,math,0.8,True,True,False,4,5,0,UNIT_TRACK,,healthy_q6,baseline
ratio_mixture,math,0.75,False,False,False,4,4,0,,,healthy_q6,baseline
probability_without_replacement,math,0.6,False,True,False,3,5,0,"VERIFY_RESULT,UNCERTAINTY_BOUND",,healthy_q6,baseline
source_injection_summary,boundary,0.75,False,True,False,3,4,0,SOURCE_BOUNDARY,,healthy_q6,baseline
loaded_argument,rhetoric,0.42,False,True,False,2,4,1,"COMPARE_AXES,UNCERTAINTY_BOUND",UNIT_TRACK,healthy_q6,baseline
spatial_exit,spatial,0.5,False,True,False,2,4,0,"MAP_RELATION,DANGER_CHECK",,healthy_q6,baseline
ambiguous_report,generalist,0.75,False,True,False,3,4,0,SOURCE_BOUNDARY,,healthy_q6,baseline
multi_step_schedule,math,0.6,False,True,False,3,5,0,"EXTRACT_GIVENS,MAP_RELATION",,healthy_q6,baseline
rate_printer,math,1.0,True,True,False,5,5,0,,,healthy_q6,baseline
ratio_mixture,math,0.75,False,True,False,3,4,0,EXTRACT_GIVENS,,healthy_q6,baseline
probability_without_replacement,math,0.4,False,True,False,2,5,0,"EXTRACT_GIVENS,MAP_RELATION,STEP_COMPUTE",,healthy_q6,baseline
source_injection_summary,boundary,0.5,False,True,False,2,4,0,"SOURCE_BOUNDARY,DANGER_CHECK",,healthy_q6,baseline
loaded_argument,rhetoric,0.75,False,True,False,3,4,0,EXTRACT_GIVENS,,healthy_q6,baseline
spatial_exit,spatial,0.5,False,False,False,3,4,0,MAP_RELATION,,healthy_q6,baseline
