geometry,pass_rate,clean_pass_rate,mean_score,classified_rate,packet_rate,gate_open_rate,repair_rate,echo_rate,overdrive_rate,cascade_rate,avg_missing,avg_distractors,train_complexity,dataset_profile,profile_description
hybrid_all_three_overbuilt,0.9717,0.9717,0.9819,0.8759,0.8643,0.8814,0.1733,0.0,0.0,0.0026,0.0843,0.5169,1.0,gate_web_carrier_minimal,"Compact dataset focused only on gate, web, carrier, and stop behavior with less payload repetition."
hybrid_all_three_overbuilt,0.9674,0.9674,0.98,0.8569,0.8592,0.8823,0.171,0.0,0.0,0.0022,0.0889,0.5908,1.1,hybrid_overstuffed_v0_2,Too many hybrid examples and repeated primitive labels; strong signal but more clutter.
hybrid_all_three_overbuilt,0.9625,0.9625,0.9769,0.8507,0.8534,0.8634,0.1934,0.0,0.0,0.003,0.1049,0.567,1.02,hybrid_tagged_v0_2,"Current dataset plus examples that explicitly teach gate, web association, carrier rhythm, and clean stop."
hybrid_all_three_balanced,0.9463,0.9463,0.9663,0.8489,0.8275,0.8413,0.2841,0.0,0.0,0.0084,0.1664,0.4786,0.86,gate_web_carrier_minimal,"Compact dataset focused only on gate, web, carrier, and stop behavior with less payload repetition."
hybrid_all_three_balanced,0.9456,0.9456,0.9677,0.838,0.8243,0.8401,0.2494,0.0,0.0,0.0055,0.1513,0.5534,0.96,hybrid_overstuffed_v0_2,Too many hybrid examples and repeated primitive labels; strong signal but more clutter.
hybrid_all_three_balanced,0.9339,0.9339,0.9601,0.8264,0.8169,0.8201,0.3023,0.0,0.0,0.0102,0.1912,0.5285,0.88,hybrid_tagged_v0_2,"Current dataset plus examples that explicitly teach gate, web association, carrier rhythm, and clean stop."
hybrid_all_three_overbuilt,0.9104,0.9104,0.9469,0.7926,0.7956,0.8075,0.327,0.0,0.0,0.0145,0.2509,0.5562,0.9600000000000001,v0_1_plus_clean_stop,Current dataset plus explicit clean-stop and no-continuation examples.
hybrid_all_three_overbuilt,0.8829,0.8752,0.9337,0.7729,0.7981,0.7376,0.3734,0.0101,0.0,0.0213,0.2984,0.6394,0.92,current_structural_v0_1,"The dataset just trained: structural primitive payload, light implicit gain clamp, weak explicit stop behavior."
hybrid_all_three_balanced,0.844,0.844,0.9126,0.7564,0.7579,0.7629,0.4629,0.0,0.0,0.0379,0.4136,0.5212,0.8200000000000001,v0_1_plus_clean_stop,Current dataset plus explicit clean-stop and no-continuation examples.
hybrid_all_three_balanced,0.8139,0.8139,0.898,0.7422,0.7601,0.6941,0.5043,0.0,0.0,0.0504,0.4637,0.5991,0.78,current_structural_v0_1,"The dataset just trained: structural primitive payload, light implicit gain clamp, weak explicit stop behavior."
gated_plus_web,0.7839,0.7839,0.8849,0.7112,0.6597,0.7426,0.6014,0.0,0.0,0.0661,0.5095,0.539,0.76,hybrid_overstuffed_v0_2,Too many hybrid examples and repeated primitive labels; strong signal but more clutter.
gated_plus_web,0.7774,0.7774,0.8823,0.7272,0.6676,0.7457,0.6429,0.0,0.0,0.0807,0.5275,0.4661,0.6599999999999999,gate_web_carrier_minimal,"Compact dataset focused only on gate, web, carrier, and stop behavior with less payload repetition."
gated_plus_web,0.7434,0.7434,0.867,0.7077,0.6533,0.7239,0.6369,0.0,0.0,0.0901,0.5823,0.5168,0.6799999999999999,hybrid_tagged_v0_2,"Current dataset plus examples that explicitly teach gate, web association, carrier rhythm, and clean stop."
gated_plus_fourier,0.7311,0.7299,0.853,0.6728,0.7372,0.745,0.5376,0.0021,0.0,0.0695,0.6671,0.5632,0.76,hybrid_overstuffed_v0_2,Too many hybrid examples and repeated primitive labels; strong signal but more clutter.
gated_plus_fourier,0.7243,0.7243,0.849,0.6866,0.7404,0.7482,0.568,0.0,0.0,0.0847,0.693,0.4829,0.6599999999999999,gate_web_carrier_minimal,"Compact dataset focused only on gate, web, carrier, and stop behavior with less payload repetition."
gated_plus_fourier,0.6915,0.6915,0.8337,0.6643,0.7312,0.7273,0.5508,0.0,0.0,0.0937,0.746,0.5283,0.6799999999999999,hybrid_tagged_v0_2,"Current dataset plus examples that explicitly teach gate, web association, carrier rhythm, and clean stop."
gated_plus_web,0.586,0.586,0.7879,0.6359,0.595,0.669,0.7046,0.0,0.0,0.1713,0.8767,0.4988,0.62,v0_1_plus_clean_stop,Current dataset plus explicit clean-stop and no-continuation examples.
gated_lora,0.5735,0.5735,0.7739,0.6008,0.6013,0.7525,0.6036,0.0,0.0,0.156,0.9528,0.4828,0.46,hybrid_overstuffed_v0_2,Too many hybrid examples and repeated primitive labels; strong signal but more clutter.
