task_id,family,mode,hits,total,rate,hit_ids,tokens_evaluated,tokens_cached,cache_n,prompt_n,prompt_ms,predicted_n,response_preview
compute_printer_rate,math,baseline,3,6,0.5,"given_pages,given_printers,units",58,126,0,58,46.103,69,- Setup: (4 printers × 480 pages) / 6 min = X printers × Y pages / Z min - Arithmetic: Solve for Z using cross-multiplication or proportion. - Units: Keep consistent throughout. - 
compute_printer_rate,math,primitive_cache,1,6,0.1667,units,306,525,244,62,40.3,220,"I divide total pages by total printers and by time to get pages per printer per minute, then multiply each side and check that both amounts add back to the total. For clock time, I"
compute_discount_tax,math,baseline,2,6,0.3333,"discount,tax",58,76,0,58,52.881,19,- Discounted Price = ? - Tax Amount = ? - Final Price = ?
compute_discount_tax,math,primitive_cache,6,6,1.0,"original_price,discount,discounted_price,tax,tax_amount,answer",306,410,244,62,44.465,105,- Setup: Original cost = $80; Discount rate = 25%; Sales tax rate = 8%. - Arithmetic: Discounted amount = $80 × (1 − 0.25) = $60; Taxable base = $60; Final price = $60 + ($60 × 0.0
compute_weighted_average,math,baseline,4,6,0.6667,"old_total,new_scores,count,average",62,205,0,62,51.455,144,"- Setup: Let x be the first score. Then (x + 82) / 3 = 82 → x = 146 - 82*3 = 146 - 246 = -100. So the five scores are -100, 82, 90, 76, and 82. Average = (-100 + 82 + 90 + 76 + 82)"
compute_weighted_average,math,primitive_cache,1,6,0.1667,average,310,529,244,66,43.993,220,"I remember that averages become reliable when intermediate values stay visible and task quantities do not change. For printer rates, I divide pages by printers and by minutes to ge"
compute_inventory_available,math,baseline,5,6,0.8333,"start,sold,received,reserved,answer",68,176,0,68,54.663,109,- Initial stock = 150 units - Sold in first 4 days = 18 × 4 = 72 units → remaining after sales = 150 − 72 = 78 units - Received later = +65 units → now 78 + 65 = 143 units - Reserv
compute_inventory_available,math,primitive_cache,0,6,0.0,,316,535,244,72,65.619,220,"I remember that inventory stays visible when daily sales stay on track and stock changes do not shift unexpectedly. For warehouse rates, I multiply daily sales by days to get total"
compute_schedule_finish,math,baseline,2,5,0.4,"start_time,durations",74,128,70,4,20.713,55,"A task begins at 9:15 AM. Step 1 lasts 60 seconds, step 2 lasts 80 seconds, then there is a 15-second pause, and step 3 lasts 45 seconds. When does it complete?"
compute_schedule_finish,math,primitive_cache,1,5,0.2,durations,322,392,244,78,63.782,71,"I convert the start time to minutes since midnight (6915), subtract the total task minutes (45 + 70 + 10 + 35 = 160) to get remaining minutes (5315), add back to midnight (1315), w"
